id,faculty_name,year,exact_year,program_name,event_date,duration,speaker_affiliation,co_speakers,no_of_attendees,created_at,updated_at
1,Anuj Grover,2024-2025,2025,Electronics Design Carnival,07-18/07/2025,12 days,IIIT Delhi,"Sujay Deb, Jainendra Shukla, R K Ghosh, Debidas Kundu",35,2026-06-23 00:00:00,2026-06-23 00:00:00
2,Sujay Deb,2024-2025,2025,Electronics Design Carnival,07-18/07/2025,12 days,IIIT Delhi,"Anuj Grover, Jainendra Shukla, R K Ghosh, Debidas Kundu",35,2026-06-23 00:00:00,2026-06-23 00:00:00
3,Jainendra Shukla,2024-2025,2025,Electronics Design Carnival,07-18/07/2025,12 days,IIIT Delhi,"Anuj Grover, Sujay Deb, R K Ghosh, Debidas Kundu",35,2026-06-23 00:00:00,2026-06-23 00:00:00
4,R K Ghosh,2024-2025,2025,Electronics Design Carnival,07-18/07/2025,12 days,IIIT Delhi,"Anuj Grover, Sujay Deb, Jainendra Shukla, Debidas Kundu",35,2026-06-23 00:00:00,2026-06-23 00:00:00
5,Debidas Kundu,2024-2025,2025,Electronics Design Carnival,07-18/07/2025,12 days,IIIT Delhi,"Anuj Grover, Sujay Deb, Jainendra Shukla, R K Ghosh",35,2026-06-23 00:00:00,2026-06-23 00:00:00
6,Anubha Gupta,2024-2025,2024,5 Day FDP on Image Segmentation,10-14/06/2024,5 days,IIIT Delhi,,,2026-06-23 00:00:00,2026-06-23 00:00:00
7,Sumit J Darak,2023-2024,2023,15-day Summer School on Digital System Design for FPGA,08/07/2023,15 days,IIIT Delhi,,47,2026-06-23 00:00:00,2026-06-23 00:00:00
8,Anuj Grover,2023-2024,,VLSI Revisited,NA,5 weeks,IIIT Delhi,"Sneh Saurabh, Sujay Deb, S S Jamuar, Sumit J Darak",50,2026-06-23 00:00:00,2026-06-23 00:00:00
9,Sneh Saurabh,2023-2024,,VLSI Revisited,NA,5 weeks,IIIT Delhi,"Anuj Grover, Sujay Deb, S S Jamuar, Sumit J Darak",50,2026-06-23 00:00:00,2026-06-23 00:00:00
10,Sujay Deb,2023-2024,,VLSI Revisited,NA,5 weeks,IIIT Delhi,"Anuj Grover, Sneh Saurabh, S S Jamuar, Sumit J Darak",50,2026-06-23 00:00:00,2026-06-23 00:00:00
11,S S Jamuar,2023-2024,,VLSI Revisited,NA,5 weeks,IIIT Delhi,"Anuj Grover, Sneh Saurabh, Sujay Deb, Sumit J Darak",50,2026-06-23 00:00:00,2026-06-23 00:00:00
12,Sumit J Darak,2023-2024,,VLSI Revisited,NA,5 weeks,IIIT Delhi,"Anuj Grover, Sneh Saurabh, Sujay Deb, S S Jamuar",50,2026-06-23 00:00:00,2026-06-23 00:00:00
13,Sujay Deb,2023-2024,2024,Electronics Design Carnival,01/07/2024,12 days,IIITD-Delhi,"Debidas Kundu, R K Ghosh, Amit Gupta, Sunil Soubham",35,2026-06-23 00:00:00,2026-06-23 00:00:00
14,Debidas Kundu,2023-2024,2024,Electronics Design Carnival,01/07/2024,12 days,IIITD-Delhi,"Sujay Deb, R K Ghosh, Amit Gupta, Sunil Soubham",35,2026-06-23 00:00:00,2026-06-23 00:00:00
15,R K Ghosh,2023-2024,2024,Electronics Design Carnival,01/07/2024,12 days,IIITD-Delhi,"Sujay Deb, Debidas Kundu, Amit Gupta, Sunil Soubham",35,2026-06-23 00:00:00,2026-06-23 00:00:00
16,Amit Gupta,2023-2024,2024,Electronics Design Carnival,01/07/2024,12 days,eInfochips,"Sujay Deb, Debidas Kundu, R K Ghosh, Sunil Soubham",35,2026-06-23 00:00:00,2026-06-23 00:00:00
17,Sunil Soubham,2023-2024,2024,Electronics Design Carnival,01/07/2024,12 days,Bergen,"Sujay Deb, Debidas Kundu, R K Ghosh, Amit Gupta",35,2026-06-23 00:00:00,2026-06-23 00:00:00
18,Saket Anand,2022-2023,2022,AICTE-ATAL 5-day Online FDP on Artificial Intelligence (AI) on System-on-Chip (SoC),10/01/2022,5 days,IIIT Delhi,"A V Subramanyam, Sanjit Kaul, Rohith Rajesh, Manjesh Hanawal",130,2026-06-23 00:00:00,2026-06-23 00:00:00
19,A V Subramanyam,2022-2023,2022,AICTE-ATAL 5-day Online FDP on Artificial Intelligence (AI) on System-on-Chip (SoC),10/01/2022,5 days,IIIT Delhi,"Saket Anand, Sanjit Kaul, Rohith Rajesh, Manjesh Hanawal",130,2026-06-23 00:00:00,2026-06-23 00:00:00
20,Sanjit Kaul,2022-2023,2022,AICTE-ATAL 5-day Online FDP on Artificial Intelligence (AI) on System-on-Chip (SoC),10/01/2022,5 days,IIIT Delhi,"Saket Anand, A V Subramanyam, Rohith Rajesh, Manjesh Hanawal",130,2026-06-23 00:00:00,2026-06-23 00:00:00
21,Rohith Rajesh,2022-2023,2022,AICTE-ATAL 5-day Online FDP on Artificial Intelligence (AI) on System-on-Chip (SoC),10/01/2022,5 days,,"Saket Anand, A V Subramanyam, Sanjit Kaul, Manjesh Hanawal",130,2026-06-23 00:00:00,2026-06-23 00:00:00
22,Manjesh Hanawal,2022-2023,2022,AICTE-ATAL 5-day Online FDP on Artificial Intelligence (AI) on System-on-Chip (SoC),10/01/2022,5 days,,"Saket Anand, A V Subramanyam, Sanjit Kaul, Rohith Rajesh",130,2026-06-23 00:00:00,2026-06-23 00:00:00
23,Sumit Darak,2022-2023,2023,15-day Winter School on Digital System Design for FPGA and ASIC,04/01/2023,5 weeks,IIIT Delhi,Sneh Saurabh,50,2026-06-23 00:00:00,2026-06-23 00:00:00
24,Sneh Saurabh,2022-2023,2023,15-day Winter School on Digital System Design for FPGA and ASIC,04/01/2023,5 weeks,IIIT Delhi,Sumit Darak,50,2026-06-23 00:00:00,2026-06-23 00:00:00
25,Anuj Grover,2022-2023,,VLSI Revisited,NA,5 weeks,IIIT Delhi,"Sneh Saurabh, Sujay Deb, S S Jamuar, Sumit J Darak",40,2026-06-23 00:00:00,2026-06-23 00:00:00
26,Sneh Saurabh,2022-2023,,VLSI Revisited,NA,5 weeks,IIIT Delhi,"Anuj Grover, Sujay Deb, S S Jamuar, Sumit J Darak",40,2026-06-23 00:00:00,2026-06-23 00:00:00
27,Sujay Deb,2022-2023,,VLSI Revisited,NA,5 weeks,IIIT Delhi,"Anuj Grover, Sneh Saurabh, S S Jamuar, Sumit J Darak",40,2026-06-23 00:00:00,2026-06-23 00:00:00
28,S S Jamuar,2022-2023,,VLSI Revisited,NA,5 weeks,IIIT Delhi,"Anuj Grover, Sneh Saurabh, Sujay Deb, Sumit J Darak",40,2026-06-23 00:00:00,2026-06-23 00:00:00
29,Sumit J Darak,2022-2023,,VLSI Revisited,NA,5 weeks,IIIT Delhi,"Anuj Grover, Sneh Saurabh, Sujay Deb, S S Jamuar",40,2026-06-23 00:00:00,2026-06-23 00:00:00
